ID,siteEffCan,mean10mEffCan,sd10mEffCan,mean30mEffCan,sd30mEffCan,site_area,gap_prop,patch_den,np,pd,ta,area_mn,area_sd,para_mn,para_sd,ai,cohesion,glcmCorrelation_mean,glcmCorrelation_sd,glcmContrast_mean,glcmContrast_sd,glcmEntropy_mean,glcmEntropy_sd,siteEffStories,mean10mEffStories,sd10mEffStories,mean30mEffStories,sd30mEffStories
EA-NC-6000-WIL4,2.87,1.38,0.7,1.65,0.93,3.912916469085857,0.005162389782554997,2.3000746555938103,9,44554.455445544554,0.020200000000000003,0.0022444444444444447,0.0013144496102086903,1.3185005380907429,0.65794163087526,89.65205982629054,85.99784527183249,0.36,0.27,2.32,2.22,2.41,0.53,3.92,3.21,0.81,3.58,0.57
EA-PL-1020-HIGH,3.61,1.43,0.83,1.73,1.05,0.9804365741899237,0.024478890967352757,7.139676532144553,7,29166.666666666664,0.024000000000000004,0.003428571428571429,0.0034218485675213068,1.3960417500333466,0.8214179379029902,90.46909926146158,90.99729890103009,0.39,0.28,4.15,5.03,2.55,0.57,3.92,3.21,0.81,3.58,0.57
EA-PL-1020-LOSH,3.56,1.9,1.09,2.28,1.42,0.8083267479948699,0.44004482207516593,13.608358287396191,11,3092.493674444757,0.3557,0.03233636363636364,0.07503931333277608,1.032822997652439,0.7341542082855266,92.91769437336947,98.81137123365362,0.36,0.28,1.85,2,1.99,0.86,3.92,3.21,0.81,3.58,0.57
EA-PL-1020-SUGL,2.27,1.21,0.59,1.43,0.84,7.285313191961497,0.9627588842356346,0.5490498341805728,4,57.0287995437696,7.014,1.7535,3.5067333336501845,2.756344815786472,1.8806822461495178,99.73738819320215,99.99702142378814,0.21,0.3,0.02,0.14,0.05,0.27,3.92,3.21,0.81,3.58,0.57
EA-PL-2030-ARG1,3.52,1.58,0.85,1.88,1.03,4.328180671441951,0.798187567075164,3.2346154337720483,14,405.2450285118823,3.4547000000000003,0.24676428571428574,0.9177244128043794,1.538942605932958,0.8364387827490687,97.26432503883184,99.96788006529002,0.28,0.29,0.4,0.68,0.9,0.87,3.92,3.21,0.81,3.58,0.57
EA-PL-3040-WIL3,2.54,1.29,0.51,1.52,0.73,2.860973173324764,0.0024467199012094317,0.6990628289169805,2,28571.428571428565,0.007000000000000001,0.0035000000000000005,0.0032526911934581187,1.0287356321839078,0.430766200033184,94.84873949579831,96.02203490782834,0.32,0.26,0.63,0.76,1.62,0.53,3.92,3.21,0.81,3.58,0.57
EA-PL-6000-HAYL,2.48,1.19,0.55,1.35,0.76,8.421361945017054,0.0035861182783943203,1.3062020219317059,11,36423.84105960265,0.0302,0.0027454545454545453,0.0027947678387886302,1.4428052791019228,0.5848879889442248,90.78146572421943,88.8898872691429,0.37,0.27,2.35,2.56,2.37,0.55,3.92,3.21,0.81,3.58,0.57
EA-PL-6000-WIL4,3.2,1.76,1,2.04,1.05,6.190900391057204,0.045017684407034554,9.853170968170462,61,21887.334050950845,0.2787,0.0045688524590163935,0.008155520440854906,1.193986861883075,0.4561989250160313,92.20409400202986,90.95673402254421,0.39,0.28,6.81,5.36,2.89,0.46,3.92,3.21,0.81,3.58,0.57
FF_M1,3.89,1.22,0.6,1.44,0.84,6.026203491905983,0.059855263846378494,8.297097843967077,50,13861.93512614361,0.3607,0.007214000000000001,0.042090243234153495,2.525731070227463,1.1733799637218552,91.87050367988071,97.21773121431679,0.42,0.27,2.87,4,2.31,0.74,3.92,3.21,0.81,3.58,0.57
FF_M2,3.76,1.48,0.89,1.99,1.23,0.9185462589641101,0.04224065976138934,16.330151969609283,15,38659.79381443299,0.0388,0.002586666666666667,0.0023597417130654264,1.6336692558899688,0.7824857363354562,81.31246662027223,86.84218749316929,0.42,0.26,5.53,6.14,2.7,0.54,3.92,3.21,0.81,3.58,0.57
